iter	Logloss
0	0.6867224884
1	0.6813394326
2	0.6769925438
3	0.6734586974
4	0.6706021649
5	0.6681761843
6	0.6659450156
7	0.6617033956
8	0.6586353719
9	0.6556346715
10	0.6530928487
11	0.651101168
12	0.649128415
13	0.6469463287
14	0.6458087196
15	0.6444074982
16	0.6430451359
17	0.642468619
18	0.6413702392
19	0.6408182372
20	0.6390246363
21	0.6380366325
22	0.6362654406
23	0.6361392878
24	0.6355247437
25	0.6349913804
26	0.6346072116
27	0.6336090142
28	0.6319412782
29	0.6316058948
30	0.6312428197
31	0.630305719
32	0.6293156377
33	0.6280285894
34	0.6270499855
35	0.626309527
36	0.6251096226
37	0.6243134009
38	0.6230655088
39	0.622254699
40	0.6220723586
41	0.6212569885
42	0.6208187644
43	0.620183595
44	0.6199730307
45	0.6188068127
46	0.6174971162
47	0.6163321131
48	0.6162760662
49	0.6157429011
50	0.6143261744
51	0.6137016875
52	0.6130565934
53	0.6113850405
54	0.6107105055
55	0.6100347914
56	0.6099160084
57	0.6091656487
58	0.6083783251
59	0.6076182295
60	0.6075460475
61	0.6066730867
62	0.6060501911
63	0.6057616311
64	0.605599446
65	0.6051311269
66	0.604610956
67	0.6038031123
68	0.6031906181
69	0.6021706426
70	0.6016419315
71	0.6015419123
72	0.6005842268
73	0.6003762208
74	0.5999422274
75	0.5999121129
76	0.5991555578
77	0.5984036089
78	0.5979535571
79	0.5974533604
80	0.5966302282
81	0.5958978194
82	0.5950602394
83	0.5947782792
84	0.5944642798
85	0.5939210582
86	0.5926709196
87	0.5917503128
88	0.5905148436
89	0.590059377
90	0.5892846789
91	0.5890682672
92	0.5888735928
93	0.5884929542
94	0.5876172851
95	0.5874096566
96	0.5867052867
97	0.5862171998
98	0.5859948525
99	0.5854905873
100	0.5844537517
101	0.5840658099
102	0.5839741834
103	0.5834027245
104	0.5830984488
105	0.5828219528
106	0.5821335736
107	0.5816605634
108	0.5812566899
109	0.5803227007
110	0.579511929
111	0.5792697536
112	0.5786735734
113	0.5784732637
114	0.5783347426
115	0.5780038339
116	0.5776930745
117	0.5771966148
118	0.5767436674
119	0.5762439876
120	0.5758832489
121	0.575444154
122	0.5751768732
123	0.5747039426
124	0.5743390958
125	0.5739467179
126	0.5736840949
127	0.5728263957
128	0.5723442088
129	0.5714772102
130	0.571090445
131	0.5707840124
132	0.5703420803
133	0.5698020218
134	0.569475424
135	0.5691858472
136	0.5686501321
137	0.5679527494
138	0.5678895292
139	0.5675285974
140	0.5671428797
141	0.5669494358
142	0.5666746783
143	0.5663853367
144	0.5662553605
145	0.5655143372
146	0.5650329101
147	0.5645439566
148	0.5640581233
149	0.563889208
